Date,OPEC_Production
1993-01-31,25.444
1993-02-28,25.714
1993-03-31,24.627
1993-04-30,24.424
1993-05-31,24.487
1993-06-30,24.579
1993-07-31,24.957
1993-08-31,24.804
1993-09-30,25.209
1993-10-31,25.047
1993-11-30,25.244
1993-12-31,25.204
1994-01-31,25.787134
1994-02-28,25.762845000000002
1994-03-31,25.707559
1994-04-30,25.66618
1994-05-31,25.745922999999998
1994-06-30,25.807028
1994-07-31,25.75282
1994-08-31,25.376374
1994-09-30,25.887468000000002
1994-10-31,26.051368
1994-11-30,26.003763
1994-12-31,25.995354
1995-01-31,26.06691
1995-02-28,26.231908
1995-03-31,26.008770000000002
1995-04-30,26.166141
1995-05-31,26.342851
1995-06-30,26.235162
1995-07-31,26.394294000000002
1995-08-31,26.544337
1995-09-30,26.457708
1995-10-31,26.501487
1995-11-30,26.546082
1995-12-31,26.559361
1996-01-31,26.709452000000002
1996-02-29,26.826236
1996-03-31,26.780316
1996-04-30,26.73596
1996-05-31,26.468111
1996-06-30,26.664918
1996-07-31,26.908099
1996-08-31,27.193080000000002
1996-09-30,27.136905
1996-10-31,27.154952
1996-11-30,27.306772000000002
1996-12-31,27.6861
1997-01-31,28.148989
1997-02-28,28.132264
1997-03-31,27.924456
1997-04-30,28.385198
1997-05-31,28.034111
1997-06-30,27.557377
1997-07-31,27.734724999999997
1997-08-31,28.694185
1997-09-30,28.739827000000002
1997-10-31,29.309780999999997
1997-11-30,28.931691999999998
1997-12-31,28.627557
1998-01-31,29.287290000000002
1998-02-28,29.889290000000003
1998-03-31,29.97129
1998-04-30,29.63789
1998-05-31,29.54909
1998-06-30,29.342290000000002
1998-07-31,29.02229
1998-08-31,28.49429
1998-09-30,28.53829
1998-10-31,28.732290000000003
1998-11-30,28.732987
1998-12-31,28.880654999999997
1999-01-31,28.967964
1999-02-28,29.007630000000002
1999-03-31,28.813297
1999-04-30,27.857964
1999-05-31,27.301662
1999-06-30,27.485297
1999-07-31,27.420964
1999-08-31,27.559630000000002
1999-09-30,27.527296999999997
1999-10-31,27.821964
1999-11-30,27.42763
1999-12-31,26.829297
2000-01-31,26.941602
2000-02-29,27.750361
2000-03-31,27.681751
2000-04-30,28.524329
2000-05-31,29.072752
2000-06-30,28.638745
2000-07-31,29.011608
2000-08-31,29.668361
2000-09-30,29.590643
2000-10-31,30.188814999999998
2000-11-30,30.427310000000002
2000-12-31,28.769883999999998
2001-01-31,29.536328
2001-02-28,29.026977
2001-03-31,29.372071
2001-04-30,28.96713
2001-05-31,28.537084999999998
2001-06-30,26.979957
2001-07-31,28.578686
2001-08-31,28.966601999999998
2001-09-30,28.108879
2001-10-31,28.025983
2001-11-30,27.325697
2001-12-31,26.929599999999997
2002-01-31,26.759185000000002
2002-02-28,26.851714
