Date,Headline,Publisher,Topic,Source_Weight,Raw_Bullish,Raw_Bearish,Weighted_Bullish,Weighted_Bearish,NSS
2014-02-20,Here's Why We're Not Too Worried About Liberty Gold's (TSE:LGD) Cash Burn Situation,Twitter/Retail,Macro,0.5,0.07414820045232773,0.06621992588043213,0.037074100226163864,0.033109962940216064,0.0039641372859478
2014-02-22,Gold hits 4-month high after U.S. strike kills key Iran military leader https://t.co/zWPGVNbFHn,Twitter/Retail,Macro,0.5,0.23644745349884033,0.6230414509773254,0.11822372674942017,0.3115207254886627,-0.19329699873924255
2014-03-06,Gold Falls After Strong Jobless Report #Silver #Stock #MarketScreener https://t.co/sgJSZrfvJE https://t.co/JZ5Pu0GTuN,Twitter/Retail,Macro,0.5,0.03291701525449753,0.8867381811141968,0.016458507627248764,0.4433690905570984,-0.4269105829298496
2014-03-28,Protest forces AngloGold to suspend Guinea gold production,Twitter/Retail,Macro,0.5,0.013682314194738865,0.8978139758110046,0.0068411570973694324,0.4489069879055023,-0.4420658308081329
2014-04-30,XAU/USD Bullish ABC Pattern Aims at $1500 Resistance,Twitter/Retail,Macro,0.5,0.6013110876083374,0.028955673798918724,0.3006555438041687,0.014477836899459362,0.28617770690470934
2014-05-29,6 Gold Companies Investors Can’t Ignore In 2020,Twitter/Retail,Supply,0.5,0.04207434132695198,0.039653949439525604,0.02103717066347599,0.019826974719762802,0.0012101959437131882
2014-07-12,$NUGT $JNUG - Exposure of two Direxion 3X gold ETFs slip to below 300% https://t.co/vaE9c7yOpH,Twitter/Retail,Supply,0.5,0.014038657769560814,0.9636513590812683,0.007019328884780407,0.48182567954063416,-0.47480635065585375
2014-07-17,"Oil is down, gold is up. Rates are flashing warnings. But someone forgot to tell stocks https://t.co/7ymiUQWP3f",Twitter/Retail,Macro,0.5,0.06379449367523193,0.718584418296814,0.03189724683761597,0.359292209148407,-0.327394962310791
2014-08-17,Hawkish FOMC sends dollar lower.,Twitter/Retail,Macro,0.5,0.8412318229675293,0.06765016913414001,0.42061591148376465,0.03382508456707001,0.38679082691669464
2014-09-20,Austral Gold : AGD to acquire remaining 30% of Casposo Mine in Argentina #AustralGold #Stock #MarketScreener… https://t.co/arSya9Sjjh,Twitter/Retail,Macro,0.5,0.04795939475297928,0.016276484355330467,0.02397969737648964,0.008138242177665234,0.015841455198824406
2014-10-08,China Fears Are Still Propelling Gold Demand. https://t.co/RAB1hQkW6r #stockmarket #economy #markets,Twitter/Retail,Macro,0.5,0.07951444387435913,0.38873064517974854,0.039757221937179565,0.19436532258987427,-0.1546081006526947
2014-10-23,Coronavirus fears raise market expectations for Fed rate cut in March https://t.co/Z33zqdljVu by @bcheungz https://t.co/XwHo1ZlMR2,Twitter/Retail,Macro,0.5,0.866405725479126,0.06430090963840485,0.433202862739563,0.03215045481920242,0.40105240792036057
2014-11-26,"$PALL - Palladium Should Fall Soon, Why This Could Be Important For Gold. https://t.co/OMMk0rkHS4 #investing #economy #finance",Twitter/Retail,Supply,0.5,0.04072992876172066,0.49690788984298706,0.02036496438086033,0.24845394492149353,-0.2280889805406332
2014-12-27,Hedge Funds Have Never Been This Bullish On Osisko Gold Royalties Ltd (OR),Twitter/Retail,Macro,0.5,0.0810176208615303,0.05920305848121643,0.04050881043076515,0.029601529240608215,0.010907281190156937
2015-02-14,Golf legend @jacknicklaus’s original 18-karat gold Rolex will be auctioned off today at Manhattan’s Phillip Auction… https://t.co/32uoCyWt9K,Twitter/Retail,Macro,0.5,0.04162181541323662,0.01995605230331421,0.02081090770661831,0.009978026151657104,0.010832881554961205
2015-05-08,Alacer Gold : Corrected - Significant Extension of Ardich Mineralization #AlacerGold #Stock #MarketScreener… https://t.co/URcTa4Cai4,Twitter/Retail,Macro,0.5,0.5324134230613708,0.012606204487383366,0.2662067115306854,0.006303102243691683,0.25990360928699374
2015-05-13,Gold Mine Output Falls For First Time Since 2008 https://t.co/W6LYcZvzxt,Twitter/Retail,Macro,0.5,0.008099298924207687,0.9652196168899536,0.004049649462103844,0.4826098084449768,-0.47856015898287296
2015-05-22,"The deepening crisis at debt-ridden Eskom shut down South Africa's key mining industry for 24 hours, hitting gold a… https://t.co/DXHzj6LIkd",Twitter/Retail,Macro,0.5,0.025177717208862305,0.9271754622459412,0.012588858604431152,0.4635877311229706,-0.45099887251853943
2015-06-20,"Gold is going to $2,500, $3,000 an ounce: investment expert https://t.co/hlkzcR2CaY https://t.co/74Nz6TV9Qn",Twitter/Retail,Macro,0.5,0.14198337495326996,0.02028788812458515,0.07099168747663498,0.010143944062292576,0.0608477434143424
2015-07-05,Read the latest FOMC statement https://t.co/VCPbCo6m61,Twitter/Retail,Macro,0.5,0.040900520980358124,0.021442415192723274,0.020450260490179062,0.010721207596361637,0.009729052893817425
2015-09-19,"April gold up 0.3% at $1,567.30/oz.",Twitter/Retail,Macro,0.5,0.8516190648078918,0.10940200090408325,0.4258095324039459,0.054701000452041626,0.3711085319519043
2015-10-14,Gold prices add to losses after jobs report,Twitter/Retail,Macro,0.5,0.034610677510499954,0.9367685914039612,0.017305338755249977,0.4683842957019806,-0.4510789569467306
2015-10-16,Gold dips as trade deal optimism benefits riskier assets https://t.co/RWN6oROmRi https://t.co/YDYtPtJpJ9,Twitter/Retail,Macro,0.5,0.08947624266147614,0.8836644291877747,0.04473812133073807,0.44183221459388733,-0.39709409326314926
2015-11-12,"Gold is going to $2,500, $3,000 an ounce: investment expert https://t.co/Kc41XEEQLH https://t.co/dyXrizEju8",Twitter/Retail,Macro,0.5,0.11842150241136551,0.020004484802484512,0.059210751205682755,0.010002242401242256,0.0492085088044405
2015-11-18,"Gold on track for a fourth straight gain, buoyed by coronavirus outbreak https://t.co/cpi5yGY54R",Twitter/Retail,Macro,0.5,0.8697221875190735,0.05086706206202507,0.43486109375953674,0.025433531031012535,0.4094275627285242
2015-12-15,6 Gold Companies Investors Can’t Ignore In 2020 - Yahoo Finance,Twitter/Retail,Supply,0.5,0.05640803650021553,0.022672070190310478,0.028204018250107765,0.011336035095155239,0.016867983154952526
2015-12-28,"Gold rises above $1,700 as bullion buyers hedge upbeat stock bets https://t.co/lSOF52tCJ6",Twitter/Retail,Macro,0.5,0.8180781602859497,0.08081197738647461,0.40903908014297485,0.040405988693237305,0.36863309144973755
2016-03-23,Royal Gold (NASDAQ:RGLD) Shareholders Booked A 68% Gain In The Last Five Years,Twitter/Retail,Macro,0.5,0.9419159293174744,0.014203806407749653,0.4709579646587372,0.007101903203874826,0.46385606145486236
2016-04-14,Consolidation in gold industry resumes as Kirkland Lake approaches Detour https://t.co/JVTtsLTxHc,Twitter/Retail,Macro,0.5,0.537359893321991,0.04300808906555176,0.2686799466609955,0.02150404453277588,0.2471759021282196
2016-04-20,Bellevue Gold : Becoming a substantial holder from MQG #BellevueGold #Stock #MarketScreener https://t.co/iRRNzPBhDt https://t.co/IOfdNks5O0,Twitter/Retail,Macro,0.5,0.1730104684829712,0.007610225584357977,0.0865052342414856,0.0038051127921789885,0.08270012144930661
2016-04-21,Gold Falls After Strong Jobless Report #Silver #Stock #MarketScreener https://t.co/Oc9YF2qFrI https://t.co/02RqJbTnaD,Twitter/Retail,Macro,0.5,0.03587133437395096,0.908117949962616,0.01793566718697548,0.454058974981308,-0.4361233077943325
2016-04-28,"Most-active gold futures jumped 6.6% to $1,671.20 a troy ounce in New York. Silver, platinum and palladium all rose… https://t.co/aDRGg4L1ya",Twitter/Retail,Macro,0.5,0.9312213063240051,0.023720184341073036,0.46561065316200256,0.011860092170536518,0.45375056099146605
2016-05-06,Reunion Gold Announces Change in Fiscal Year-End  https://t.co/w6lAuHY5lY,Twitter/Retail,Macro,0.5,0.06178467720746994,0.50770103931427,0.03089233860373497,0.253850519657135,-0.22295818105340004
2016-06-18,Amani Gold : Secures Gold Dealers License in Tanzania #AmaniGold #Stock #MarketScreener https://t.co/fUr63A7aVB https://t.co/AHlEWGRAtq,Twitter/Retail,Macro,0.5,0.13801275193691254,0.010010352358222008,0.06900637596845627,0.005005176179111004,0.06400119978934526
2016-08-23,$KGC - Kinross Gold (KGC) Presents At 23rd Annual Western Institutional Investor Conference - Slideshow.... https://t.co/3GHkbeYsRj,Twitter/Retail,Macro,0.5,0.1290697455406189,0.0124294962733984,0.06453487277030945,0.0062147481366992,0.05832012463361025
2016-09-02,Why is gold lower on the day? https://t.co/5F3GjdTMZU,Twitter/Retail,Macro,0.5,0.0379398912191391,0.6746986508369446,0.01896994560956955,0.3373493254184723,-0.31837937980890274
